1 #anatomical sites
3 #samples
4 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	P	0	v0	1.000000	1.000000
0	R1	0	P	1	v1	0.034091	0.191781
0	R1	0	P	2	v2	0.000000	0.000000
0	R1	0	P	3	v3	0.000000	0.002257
1	R2	0	P	0	v0	1.000000	1.000000
1	R2	0	P	1	v1	0.074194	0.382392
1	R2	0	P	2	v2	0.000000	0.001253
1	R2	0	P	3	v3	0.036320	0.052960
2	R3	0	P	0	v0	1.000000	1.000000
2	R3	0	P	1	v1	0.032787	0.195402
2	R3	0	P	2	v2	0.026171	0.044199
2	R3	0	P	3	v3	0.000000	0.000000
