SampleID	PyClonePhyloCluster	PhyloCCF
CRUK0062	NA	NA
CRUK0062	NA	NA
CRUK0062	4	R1:0.93;R2:1.05;R3:1.07;R4:0.97;R5:1.04;R6:0.89;R7:1.03
CRUK0062	NA	NA
CRUK0062	4	R1:2.1;R2:1.05;R3:1.11;R4:1.5;R5:1.89;R6:1.06;R7:1.7
CRUK0062	4	R1:0.97;R2:0.97;R3:0.99;R4:1.01;R5:0.93;R6:1;R7:1.14
CRUK0062	4	R1:1.01;R2:1.04;R3:1.04;R4:1.05;R5:0.93;R6:0.95;R7:1.08
CRUK0062	4	R1:0.82;R2:0.96;R3:0.99;R4:1.02;R5:0.87;R6:1.11;R7:1
CRUK0062	25	R1:0.95;R2:1;R3:1.09;R4:0.9;R5:0.96;R6:1.06;R7:0
CRUK0062	NA	NA
CRUK0062	4	R1:0.99;R2:1;R3:0.98;R4:1;R5:0.97;R6:1.02;R7:0.94
CRUK0062	3	R1:0;R2:0;R3:1.1;R4:0;R5:0;R6:0;R7:0
CRUK0062	11	R1:0.31;R2:0;R3:1.07;R4:0.96;R5:0.92;R6:0;R7:0
CRUK0062	4	R1:0.95;R2:0.99;R3:1.04;R4:1.06;R5:1.04;R6:0.9;R7:1.06
CRUK0062	20	R1:0.15;R2:0;R3:1.14;R4:1.21;R5:1.33;R6:0.93;R7:0
CRUK0062	14	R1:0.04;R2:0.04;R3:0.99;R4:1.04;R5:0;R6:0;R7:0
CRUK0062	4	R1:1.2;R2:1.08;R3:1.04;R4:1;R5:0.89;R6:1.18;R7:1.22
CRUK0062	4	R1:0.89;R2:1.01;R3:1.02;R4:1.04;R5:1.01;R6:1.02;R7:1
CRUK0062	4	R1:1;R2:1.01;R3:1.01;R4:0.97;R5:0.96;R6:0.97;R7:1.03
CRUK0062	4	R1:1;R2:1.05;R3:1.04;R4:1.03;R5:1.05;R6:1.02;R7:0.9
CRUK0062	4	R1:1.48;R2:1.27;R3:1.02;R4:1.22;R5:1.45;R6:1.45;R7:1.13
CRUK0062	4	R1:1.07;R2:1.04;R3:1.02;R4:0.94;R5:1.01;R6:1.22;R7:0.98
CRUK0062	4	R1:1.05;R2:1.07;R3:1.01;R4:1.04;R5:1.01;R6:1.1;R7:1.01
CRUK0062	3	R1:0;R2:0;R3:1.1;R4:0.01;R5:0;R6:0;R7:0
CRUK0062	4	R1:1.15;R2:1.14;R3:1.04;R4:1.03;R5:1.1;R6:1.07;R7:1.06
CRUK0062	11	R1:0;R2:0;R3:0.96;R4:1.11;R5:1.04;R6:0;R7:0.04
CRUK0062	4	R1:1.06;R2:1;R3:1;R4:0.96;R5:1.05;R6:1.2;R7:1.02
CRUK0062	4	R1:1;R2:1;R3:1.01;R4:0.97;R5:1.03;R6:1.02;R7:1.04
CRUK0062	NA	NA
CRUK0062	4	R1:0.97;R2:1.1;R3:1;R4:1;R5:0.96;R6:1.16;R7:0.97
CRUK0062	4	R1:1.05;R2:1.03;R3:0.99;R4:1.05;R5:1.27;R6:1.14;R7:1.02
CRUK0062	4	R1:1.1;R2:1.02;R3:0.99;R4:0.96;R5:0.88;R6:0.79;R7:1.02
CRUK0062	4	R1:1.04;R2:0.98;R3:1.01;R4:1.02;R5:1.18;R6:1.05;R7:0.86
CRUK0062	4	R1:1.14;R2:0.99;R3:1.04;R4:0.97;R5:1.23;R6:0.98;R7:0.93
CRUK0062	20	R1:0.52;R2:0;R3:1;R4:0.96;R5:0.94;R6:0.25;R7:0.08
CRUK0062	4	R1:1.06;R2:1.59;R3:0.96;R4:0.89;R5:0.91;R6:1;R7:0.92
CRUK0062	3	R1:0;R2:0;R3:0.97;R4:0;R5:0;R6:0;R7:0
CRUK0062	3	R1:0;R2:0;R3:1.04;R4:0;R5:0;R6:0;R7:0
CRUK0062	4	R1:0.97;R2:1.04;R3:0.98;R4:1.01;R5:0.98;R6:1;R7:0.99
